altura,latitud,longitud
9627,-73.7558687011,37.4830846751
9626,-73.7602374179,37.4760307666
9625,-73.7646050228,37.4689775158
9624,-73.7689715159,37.4619249228
9623,-73.7733368976,37.4548729876
9622,-73.7777011679,37.44782171
9621,-73.7820643273,37.4407710903
9620,-73.7864263758,37.4337211282
9619,-73.7907873138,37.4266718239
9618,-73.7951471414,37.4196231772
9617,-73.7995058589,37.4125751883
9616,-73.8038634665,37.4055278571
9615,-73.8082199645,37.3984811836
9614,-73.8125753531,37.3914351677
9613,-73.8169296324,37.3843898096
9612,-73.8212828029,37.3773451091
9611,-73.8256348645,37.3703010663
9610,-73.8299858177,37.3632576812
9609,-73.8343356627,37.3562149537
9608,-73.8386843996,37.3491728839
9607,-73.8430320286,37.3421314717
9606,-73.8473785502,37.3350907172
9605,-73.8517239643,37.3280506203
9604,-73.8560682714,37.3210111811
9603,-73.8604114716,37.3139723994
9602,-73.8647535651,37.3069342754
9601,-73.8690945522,37.299896809
9600,-73.8734344331,37.2928600002
9599,-73.8777732081,37.285823849
9598,-73.8821108773,37.2787883554
9597,-73.886447441,37.2717535194
9596,-73.8907828995,37.2647193409
9595,-73.8951172529,37.2576858201
9594,-73.8994505015,37.2506529568
9593,-73.9037826455,37.2436207511
9592,-73.9081136852,37.2365892029
9591,-73.9124436208,37.2295583123
9590,-73.9167724525,37.2225280792
9589,-73.9211001805,37.2154985037
9588,-73.9254268051,37.2084695857
9587,-73.9297523265,37.2014413252
9586,-73.9340767449,37.1944137223
9585,-73.9384000606,37.1873867768
9584,-73.9427222738,37.1803604889
9583,-73.9470433847,37.1733348585
9582,-73.9513633936,37.1663098856
9581,-73.9556823007,37.1592855701
9580,-73.9600001061,37.1522619122
9579,-73.9643168102,37.1452389117
9578,-73.9686324132,37.1382165687
9577,-73.9729469153,37.1311948832
9576,-73.9772603167,37.1241738552
9575,-73.9815726177,37.1171534846
9574,-73.9858838184,37.1101337714
9573,-73.9901939192,37.1031147157
9572,-73.9945029203,37.0960963174
9571,-73.9988108218,37.0890785766
9570,-74.003117624,37.0820614932
9569,-74.0074233272,37.0750450672
9568,-74.0117279316,37.0680292986
9567,-74.0160314373,37.0610141875
9566,-74.0203338447,37.0539997337
9565,-74.024635154,37.0469859373
9564,-74.0289353653,37.0399727983
9563,-74.0332344789,37.0329603167
9562,-74.0375324951,37.0259484925
9561,-74.0418294141,37.0189373257
9560,-74.0461252361,37.0119268162
9559,-74.0504199613,37.0049169641
9558,-74.05471359,36.9979077693
9557,-74.0590061224,36.9908992319
9556,-74.0632975587,36.9838913518
9555,-74.0675878991,36.9768841291
9554,-74.071877144,36.9698775637
9553,-74.0761652934,36.9628716556
9552,-74.0804523477,36.9558664048
9551,-74.0847383071,36.9488618113
9550,-74.0890231718,36.9418578752
9549,-74.093306942,36.9348545963
9548,-74.097589618,36.9278519748
9547,-74.1018711999,36.9208500105
9546,-74.1061516881,36.9138487035
9545,-74.1104310827,36.9068480538
9544,-74.114709384,36.8998480614
9543,-74.1189865922,36.8928487262
9542,-74.1232627075,36.8858500483
9541,-74.1275377302,36.8788520276
9540,-74.1318116605,36.8718546642
9539,-74.1360844986,36.864857958
9538,-74.1403562447,36.8578619091
9537,-74.1446268992,36.8508665173
9536,-74.1488964621,36.8438717828
9535,-74.1531649338,36.8368777056
9534,-74.1574323144,36.8298842855
9533,-74.1616986043,36.8228915226
9532,-74.1659638035,36.815899417
9531,-74.1702279124,36.8089079685
9530,-74.1744909312,36.8019171772
9529,-74.1787528601,36.7949270431
9528,-74.1830136994,36.7879375661
9527,-74.1872734492,36.7809487464
9526,-74.1915321098,36.7739605838
9525,-74.1957896814,36.7669730783
9524,-74.2000461643,36.75998623
9523,-74.2043015586,36.7530000389
9522,-74.2085558647,36.7460145048
9521,-74.2128090827,36.739029628
9520,-74.2170612129,36.7320454082
9519,-74.2213122554,36.7250618455
9518,-74.2255622106,36.71807894
9517,-74.2298110787,36.7110966916
9516,-74.2340588598,36.7041151003
9515,-74.2383055542,36.6971341661
9514,-74.2425511622,36.6901538889
9513,-74.2467956839,36.6831742689
9512,-74.2510391197,36.6761953059
9511,-74.2552814696,36.669217
9510,-74.259522734,36.6622393512
9509,-74.2637629131,36.6552623594
9508,-74.2680020071,36.6482860247
9507,-74.2722400162,36.641310347
9506,-74.2764769407,36.6343353264
9505,-74.2807127808,36.6273609628
9504,-74.2849475367,36.6203872563
9503,-74.2891812086,36.6134142067
9502,-74.2934137969,36.6064418142
9501,-74.2976453016,36.5994700787
9500,-74.301875723,36.5924990002
9499,-74.3061050615,36.5855285787
9498,-74.3103333171,36.5785588142
9497,-74.3145604901,36.5715897067
9496,-74.3187865808,36.5646212561
9495,-74.3230115893,36.5576534626
9494,-74.3272355159,36.550686326
9493,-74.3314583609,36.5437198463
9492,-74.3356801244,36.5367540237
9491,-74.3399008067,36.529788858
9490,-74.344120408,36.5228243492
9489,-74.3483389286,36.5158604974
9488,-74.3525563686,36.5088973025
9487,-74.3567727283,36.5019347645
9486,-74.360988008,36.4949728834
9485,-74.3652022078,36.4880116593
9484,-74.3694153279,36.4810510921
9483,-74.3736273687,36.4740911818
9482,-74.3778383303,36.4671319284
9481,-74.382048213,36.4601733318
9480,-74.3862570169,36.4532153922
9479,-74.3904647424,36.4462581094
9478,-74.3946713896,36.4393014835
9477,-74.3988769588,36.4323455145
9476,-74.4030814501,36.4253902024
9475,-74.4072848639,36.4184355471
9474,-74.4114872004,36.4114815486
9473,-74.4156884597,36.404528207
9472,-74.4198886422,36.3975755222
9471,-74.4240877479,36.3906234943
9470,-74.4282857773,36.3836721232
9469,-74.4324827304,36.3767214089
9468,-74.4366786075,36.3697713514
9467,-74.4408734089,36.3628219507
9466,-74.4450671348,36.3558732069
9465,-74.4492597853,36.3489251198
9464,-74.4534513608,36.3419776895
9463,-74.4576418615,36.335030916
9462,-74.4618312875,36.3280847993
9461,-74.4660196391,36.3211393394
9460,-74.4702069165,36.3141945362
9459,-74.4743931201,36.3072503898
9458,-74.4785782499,36.3003069001
9457,-74.4827623062,36.2933640672
9456,-74.4869452892,36.286421891
9455,-74.4911271993,36.2794803716
9454,-74.4953080365,36.2725395088
9453,-74.4994878011,36.2655993029
9452,-74.5036664934,36.2586597536
9451,-74.5078441136,36.251720861
9450,-74.5120206619,36.2447826252
9449,-74.5161961385,36.237845046
9448,-74.5203705436,36.2309081236
9447,-74.5245438776,36.2239718578
9446,-74.5287161405,36.2170362487
9445,-74.5328873327,36.2101012963
9444,-74.5370574544,36.2031670006
9443,-74.5412265057,36.1962333615
9442,-74.545394487,36.1893003791
9441,-74.5495613984,36.1823680533
9440,-74.5537272402,36.1754363842
9439,-74.5578920126,36.1685053717
9438,-74.5620557158,36.1615750159
9437,-74.56621835,36.1546453166
9436,-74.5703799155,36.147716274
9435,-74.5745404126,36.1407878881
9434,-74.5786998413,36.1338601587
